,place,text,lang,location,geo,coord
96,,"I have chronic asthma, I literally cannot run down anybody.",en,Heatin' in the West Indies.,True,
97,,I think I'm getting sick + this asthma 😷 fml,en,,True,
98,,RT @cjamesw1995: I'm just gonna die tonight cause y'all fools keep fucking with my asthma 😂 https://t.co/MJFRdKrVNR,en,"Tulsa, OK",True,
99,,Respiratory Disease: Asthma - #ASSSA #Health #Insurance https://t.co/8YSSDHRH9P https://t.co/xzRJlbdkwX,en,Alicante,False,
100,,RT @healthwomeninfo: Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co…,en,Miami,False,
101,,apoA-I mimetic peptides: new perspective in steroid-refractive-neutrophilic (type-2-low) #asthma @SOGAPAR @gemasma https://t.co/NLnhFScey2,en,,False,
102,,RT @healthwomeninfo: Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co…,en,HouTex,False,
103,,RT @LeChrissss_: 😭😭😭😭😭😭💀 https://t.co/RCAW4a0y1G,und,"Dallas, TX",True,
104,,"RT @Fact: Did you know chewing mints can help with weight loss, asthma and stress? Check out these health benefits of Mint... https://t.co/…",en,Epsom Surrey,True,
105,,RT @healthwomeninfo: Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co…,en,,False,
106,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"New Jersey, USA",False,
107,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,Campbell River,False,
108,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"San Antonio, TX",False,
109,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Phoenix, AZ",False,
110,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Philadelphia, PA",False,
111,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Waterford, CA",False,
112,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Boston, MA",False,
113,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Penticton, British Columbia",False,
114,,#asthma A brave battle and the love she couldn't keep secret: How Laura Trott beat th... https://t.co/DQBGs5SOYF https://t.co/y4mIG8AJvb,en,,False,
115,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Gloversville, NY",False,
116,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"East Rochester, NY",False,
117,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"New York, USA",False,
118,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Metuchen, NJ",False,
119,,RT @tomsa197911: Advair diskus 100mcg + 50mcg rating | Advair diskus price comparison 250 mcg + 50 mcg | get Advair diskus online https://t…,en,"Los Angeles, CA",False,
120,,"Educating all the people in the continuum, using innovative approaches is the key to success in managing Asthma @GSK @leaphealthmobi @PSP4H",en,Kenya,True,
121,,Going to teach early. Students aren't going to know what's up. Only because someone is using acetone outside my office. Asthma lungs say no.,en,"Cape Town, South Africa",True,
122,,GSK reaffirms committment to increase access to affordable Asthma care in low resource populations @GSK @Amref_Kenya @MOH_Kenya,en,,False,
123,,Drove all by myself mid asthma attack. Almost called the  ambulance &amp; remembered that 500 dolla copay from last time 😠 Man I better get it 😌,en,"Buffalo, NY",True,
124,,Does your #child look too tired and unenthusiastic? Sometimes #Asthma could be the villain.. No need to panic.... https://t.co/8cIlxwhqtE,en,India,False,
125,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"St Lambert, QC",False,
126,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Hebron, TX",False,
127,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Nelson, British Columbia",False,
128,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"San Diego, CA",False,
129,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Fredericksburg, VA",False,
130,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Oshawa, Ontario",False,
131,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Drumheller, Alberta",False,
132,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"New York, NY",False,
133,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Halifax, Nova Scotia",False,
134,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Washington, DC",False,
135,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Spencerville, Ontario",False,
136,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"New Orleans, LA",False,
137,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Cedar Falls, IA",False,
138,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Malvern, Toronto",False,
139,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Charlotte, NC",False,
140,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Toronto, Ontario",False,
141,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"New Jersey, USA",False,
142,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,"Amqui, Québec",False,
143,,RT @tomsa197911: generics for Advair diskus 100mcg + 50mcg | what is Advair diskus 100mcg + 50mcg? | Advair diskus info https://t.co/KanH2z…,en,Campbell River,False,
144,,RT @NyxMcLean: Going to teach early. Students aren't going to know what's up. Only because someone is using acetone outside my office. Asth…,en,Cape Town and eDikeni. ,True,
145,,RT @healthwomeninfo: Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co…,en,philly,False,
146,,RT @healthwomeninfo: Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co…,en,Wichita,False,
147,,@Amref_Kenya Innovative mobile training platforms for health workers can save lives lost through poor asthma management @GSK @MOH_Kenya,en,,False,
148,,#Digital #technologies set to revolutionise #asthma care #NHS #mHealth #IoT #healthcare https://t.co/qZzveU70r7 via @InformationAge,en,London/Essex,True,
149,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Waterford, CA",False,
150,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Boston, MA",False,
151,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Portland, OR",False,
152,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"East Rochester, NY",False,
153,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"New York, USA",False,
154,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Lansing, MI",False,
155,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Lake Buena Vista, FL 32830",False,
156,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Indiana, USA",False,
157,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Piscataway, NJ",False,
158,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Urbandale, IA",False,
159,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Madison, WI",False,
160,,RT @tomsa197911: when to take Advair diskus | low cost generic Advair diskus | Advair diskus 250mcg + 50mcg info https://t.co/KanH2zOK5j,en,"Lennox, SD",False,
161,,RT @healthwomeninfo: Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co…,en,Boston - USA,False,
162,,RT @HARTResearch: We like new @tandfonline #TFRefresh versions of articles @Dr_HLO https://t.co/OAtbFAMktu #asthma #sport #Senses https://t…,en,Oxford,False,
163,,Asthma And Swimming In Cold Water - Asthma https://t.co/EfWO1s21uL,en,,False,
164,,RT @30SECONDFlGHTS: When you whoppin they ass and forget you have asthma 😂😂 https://t.co/Y1qDqvKljI,en,living & loving,False,
165,,Asthma is no joke,en,seat pleasant pleasant md,True,
166,,RT @healthwomeninfo: Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co…,en,,False,
